,name,nationality_1,nationality_2,team,jersey,position_1,position_2,archetype,height_feet,height_cm,weight_lbs,weight_kg,wingspan_feet,wingspan_cm,years_in_the_wnba,birthdate,hometown,prior_to_wnba,overall,group_outside_scoring,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,group_athleticism,speed,agility,strength,vertical,stamina,hustle,overall_durability,group_inside_scoring,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,group_playmaking,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,group_defense,interior_defense,perimeter_defense,steal,block,help_defense_iq,pass_perception,defensive_consistency,group_rebounding,offensive_rebound,defensive_rebound,intangibles,potential,total_attributes,badge_deadeye,badge_limitless_range,badge_mini_marksman,badge_set_shot_specialist,badge_shifty_shooter,badge_aerial_wizard,badge_float_game,badge_hook_specialist,badge_layup_mixmaster,badge_paint_prodigy,badge_physical_finisher,badge_post_fade_phenom,badge_post_powerhouse,badge_post_up_poet,badge_posterizer,badge_rise_up,badge_ankle_assassin,badge_bail_out,badge_break_starter,badge_dimer,badge_handles_for_days,badge_lightning_launch,badge_strong_handle,badge_unpluckable,badge_versatile_visionary,badge_challenger,badge_glove,badge_high_flying_denier,badge_immovable_enforcer,badge_interceptor,badge_off_ball_pest,badge_on_ball_menace,badge_paint_patroller,badge_pick_dodger,badge_post_lockdown,badge_boxout_beast,badge_rebound_chaser,badge_brick_wall,badge_slippery_off_ball,badge_pogo_stick
33,DeWanna Bonner,United States,,Phoenix Mercury,25,SF,PF,2-Way Slashing Shot Creator,"6'4""",193,143,64,"6'8""",203,16,"August 21, 1987","Fairfield, Alabama",Auburn,89,81,85,76,75,82,85,85,82,77,86,75,70,95,93,80,70,91,25,25,74,79,75,92,95,67,68,75,74,75,44,80,89,87,63,57,87,87,90,55,36,74,80,88,2794,gold,silver,,gold,silver,,gold,,,,gold,bronze,,,,,,,,,,,,,,silver,bronze,,gold,silver,silver,bronze,silver,bronze,silver,,,,gold,
34,Diamond Miller,United States,,Dallas Wings,1,SF,,Wing Stopper,"6'3""",191,168,76,"6'7""",201,2,"February 11, 2001","Montclair, New Jersey",Maryland,72,70,81,78,67,83,40,70,80,74,84,65,70,95,95,80,52,80,25,25,35,62,44,83,60,70,70,74,71,74,62,69,64,79,62,53,75,77,75,56,50,61,25,78,2446,,,,,,,,,silver,,,,,,,,,,,,,,,silver,,bronze,,,,silver,,,,,,,,,,
35,Dijonai Carrington,United States,,Minnesota Lynx,21,SG,SF,2-Way 3-Level Shot Creator,"5'11""",180,175,79,"6'3""",191,4,"January 8, 1998","San Diego, California",Baylor,86,81,78,78,71,78,98,85,81,77,96,69,65,84,95,80,64,82,25,25,58,54,78,93,98,70,70,75,74,75,58,78,64,94,70,52,91,80,98,57,54,60,70,86,2738,,,,gold,silver,,,,silver,,,,,,,,bronze,,,,silver,,gold,,,silver,silver,,hof,bronze,hof,gold,,gold,,,bronze,bronze,silver,
36,Dorka Juhasz,Hungary,,Minnesota Lynx,14,PF,C,Versatile Defender,"6'5""",196,191,86,"6'9""",206,2,,"	Pecs, Hungary",Connecticut,77,76,81,67,74,65,98,70,70,44,38,75,68,90,95,80,58,68,25,25,62,60,79,60,85,54,55,60,42,60,52,69,73,68,40,62,78,75,85,63,58,68,98,79,2462,,,,,,,,,,,,,silver,bronze,,,,,,,,,,,,,,,,,,,bronze,,,,,,,
37,Elizabeth Williams,United States,,Chicago Sky,1,C,PF,2-Way Interior Threat,"6'3""",191,200,90,"6'7""",201,10,"June 23, 1993","Virginia Beach, Virginia",Duke,83,69,91,50,30,67,98,75,77,60,54,93,69,90,90,80,65,80,25,25,80,81,75,54,98,47,38,51,49,51,45,76,83,64,73,86,85,65,75,71,77,65,98,84,2554,,,,,,,,bronze,,silver,,silver,bronze,,,,,,gold,,,,,,,,,silver,gold,,,,gold,,bronze,,,gold,,
38,Emily Engstler,United States,,Washington Mystics,21,SF,,3 & D Threat,"6'1""",185,180,81,"6'5""",196,3,"May 1, 2000",,Louisville,76,70,67,68,83,79,80,40,73,70,67,67,68,79,82,80,51,72,25,25,54,58,52,44,75,63,70,60,66,60,58,62,65,65,66,61,67,62,50,75,72,77,80,79,2393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Emma Cannon,United States,,Los Angeles Sparks,32,PF,SF,Board-Hunting Stretch Four,"6'2""",188,190,86,"6'6""",198,14,"June 1, 1989","Rochester, New York",Central Florida,79,75,87,73,81,85,65,60,77,70,69,82,68,80,90,80,57,80,25,25,60,52,74,50,88,65,57,64,68,64,70,68,79,69,63,37,75,78,75,77,73,81,98,79,2574,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,bronze,silver,silver,silver,,
40,Erica Wheeler,United States,,Seattle Storm,17,PG,SG,Playmaking Mid-Range Threat,"5'7""",170,143,64,"5'10""",178,12,"May 2, 1991","Miami, Florida",Rutgers,73,75,87,81,70,86,50,75,80,85,79,55,70,95,96,80,48,79,25,25,30,45,48,49,84,83,87,86,85,86,72,61,47,74,53,35,72,74,70,39,33,45,25,80,2418,bronze,,,,,,,,,,,,,,,,,,,,silver,bronze,gold,gold,bronze,silver,,,,,,,,,,,,,,
41,Ezi Magbegor,Australia,,Seattle Storm,13,C,,2-Way Inside-The-Arc Threat,"6'4""",193,181,81,"6'8""",203,6,"August 13, 1999","Wellington, New Zealand",Australia,89,87,84,87,69,89,98,95,75,64,54,76,69,92,89,80,71,87,25,25,85,77,87,87,98,56,52,67,47,67,47,82,93,64,63,93,89,81,90,76,73,79,98,89,2809,,,,,,,,silver,silver,gold,,,silver,gold,,,,,,,,,,,,silver,,hof,bronze,,,bronze,gold,,gold,gold,silver,silver,,silver
42,Gabby Williams,United States,,Seattle Storm,5,SF,SG,Steady Point Forward,"5'11""",180,172,77,"6'3""",191,7,"September 9, 1996",,Connecticut,82,74,85,71,79,74,75,60,77,71,73,69,65,84,95,80,56,75,25,25,58,54,69,47,95,75,78,84,54,84,75,69,64,75,80,52,75,70,70,57,51,63,70,83,2557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,
43,Haley Jones,United States,,Dallas Wings,30,SG,PG,Steady Combo Guard,"6'1""",185,187,84,"6'5""",196,2,"May 23, 2001","Santa Cruz, California",Stanford,70,63,79,57,57,67,60,60,79,84,82,52,68,95,90,80,57,71,25,25,50,60,72,68,85,77,70,81,84,81,68,64,60,77,36,51,79,68,75,67,68,65,30,75,2455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,
44,Iliana Rupert,France,,Golden State Valkyries,21,C,PF,Stretch Five,"6'4""",193,189,85,"6'8""",203,4,"July 12, 2001",,France,70,71,72,60,80,70,88,55,81,78,78,75,77,88,90,80,43,58,25,25,38,42,39,36,81,58,65,58,69,58,39,53,42,40,46,35,72,70,65,55,53,57,75,77,2256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Isabelle Harrison,United States,,New York Liberty,21,PF,C,Paint Protector,"6'3""",191,183,82,"6'7""",201,10,"September 27, 1993","Nashville, Tennessee",Tennessee,76,69,82,67,29,83,90,65,79,68,76,79,68,94,85,80,59,70,25,25,68,60,69,69,83,54,59,56,56,56,44,67,84,52,63,49,80,59,80,62,55,69,70,77,2444,,,,gold,,,,,,,,,bronze,,,,,,,,,,,,,,,,silver,,,,silver,,silver,,,gold,,
46,Jackie Young,United States,,Las Vegas Aces,0,SG,SF,2-Way 3-Level Combo Guard,"6'0""",183,165,74,"6'4""",193,6,"September 16, 1997","Princeton, Indiana",Notre Dame,89,89,88,84,84,82,98,98,82,87,86,55,76,95,98,80,58,92,25,25,38,60,40,91,95,82,83,83,87,83,75,69,52,87,43,40,86,84,90,44,37,51,80,91,2729,gold,silver,gold,hof,silver,,hof,,gold,,,,,,,,silver,,,gold,silver,gold,,,,silver,bronze,,gold,,gold,,,silver,,,,,,
47,Jacy Sheldon,United States,,Washington Mystics,4,SG,SF,Catch & Shoot Ace,"5'10""",178,140,63,"6'2""",188,1,"August 23, 2000",,Ohio State,72,77,83,75,79,86,60,80,76,84,83,50,61,90,86,80,45,79,25,25,25,30,25,60,88,65,59,65,83,65,55,65,45,80,37,47,78,81,85,41,41,41,25,89,2330,,,,,,,bronze,,,,,,,,,,,,,,,,,,,bronze,,,,bronze,bronze,,,silver,,,,,,silver
48,Jade Melbourne,Australia,,Washington Mystics,5,PG,,Steady Playmaker,"5'11""",180,145,65,"6'3""",191,3,"August 18, 2002","Melbourne, Australia",Australia,73,75,80,70,83,74,90,50,69,80,71,41,68,80,65,80,44,68,25,25,37,32,38,74,50,74,72,74,80,74,68,55,34,64,63,51,60,62,50,42,37,47,98,78,2293,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Jaylyn Sherrod,,,Minnesota Lynx,0,PG,,Perimeter Threat,"5'7""",170,149,67,"5'10""",178,1,"October 21, 2001","Birmingham, Alabama",Colorado,71,70,75,75,81,80,70,40,73,77,76,40,68,84,85,80,44,76,25,25,25,40,25,51,86,77,80,80,77,80,68,56,42,64,68,44,68,68,40,40,37,42,70,76,2288,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Jessica Shepard,United States,,Minnesota Lynx,15,PF,C,Rim Attacker,"6'4""",193,186,84,"6'8""",203,6,"September 11, 1996","Fremont, Nebraska",Notre Dame,79,75,92,53,65,78,89,70,72,52,60,85,67,83,80,80,62,82,25,25,68,64,70,75,85,71,75,80,48,80,72,57,75,54,38,51,72,47,65,71,69,72,98,79,2523,,,,,,,,,,,,,bronze,,,,,,gold,,,,,,,,,,,,,,,,bronze,gold,silver,,,bronze
51,Jewell Loyd,United States,,Las Vegas Aces,24,SG,PG,2-Way 3-Level Combo Guard,"5'11""",180,165,74,"6'3""",191,10,"October 5, 1993","Lincolnwood, Illinois",Notre Dame,86,88,78,83,84,87,98,98,82,86,86,62,68,98,95,80,61,82,25,25,64,55,42,97,95,83,79,93,80,92,69,68,52,79,63,37,84,78,80,44,36,51,70,86,2717,,silver,,silver,gold,,gold,,gold,,gold,,,,,,silver,,,,bronze,,,,silver,,,,,,,,,,,,,,gold,
